champion,url
Nunu & Willump,https://leagueoflegends.fandom.com/wiki/Nunu_%26_Willump/LoL
Olaf,https://leagueoflegends.fandom.com/wiki/Olaf/LoL
Orianna,https://leagueoflegends.fandom.com/wiki/Orianna/LoL
Ornn,https://leagueoflegends.fandom.com/wiki/Ornn/LoL
Pantheon,https://leagueoflegends.fandom.com/wiki/Pantheon/LoL
Poppy,https://leagueoflegends.fandom.com/wiki/Poppy/LoL
Pyke,https://leagueoflegends.fandom.com/wiki/Pyke/LoL
Qiyana,https://leagueoflegends.fandom.com/wiki/Qiyana/LoL
Quinn,https://leagueoflegends.fandom.com/wiki/Quinn/LoL
Rakan,https://leagueoflegends.fandom.com/wiki/Rakan/LoL
Rammus,https://leagueoflegends.fandom.com/wiki/Rammus/LoL
Rek'Sai,https://leagueoflegends.fandom.com/wiki/Rek%27Sai/LoL
Rell,https://leagueoflegends.fandom.com/wiki/Rell/LoL
Renata Glasc,https://leagueoflegends.fandom.com/wiki/Renata_Glasc/LoL
Renekton,https://leagueoflegends.fandom.com/wiki/Renekton/LoL
Rengar,https://leagueoflegends.fandom.com/wiki/Rengar/LoL
Riven,https://leagueoflegends.fandom.com/wiki/Riven/LoL
Rumble,https://leagueoflegends.fandom.com/wiki/Rumble/LoL
Ryze,https://leagueoflegends.fandom.com/wiki/Ryze/LoL
Samira,https://leagueoflegends.fandom.com/wiki/Samira/LoL
Sejuani,https://leagueoflegends.fandom.com/wiki/Sejuani/LoL
Senna,https://leagueoflegends.fandom.com/wiki/Senna/LoL
Seraphine,https://leagueoflegends.fandom.com/wiki/Seraphine/LoL
Sett,https://leagueoflegends.fandom.com/wiki/Sett/LoL
Shaco,https://leagueoflegends.fandom.com/wiki/Shaco/LoL
Shen,https://leagueoflegends.fandom.com/wiki/Shen/LoL
Shyvana,https://leagueoflegends.fandom.com/wiki/Shyvana/LoL
Singed,https://leagueoflegends.fandom.com/wiki/Singed/LoL
Sion,https://leagueoflegends.fandom.com/wiki/Sion/LoL
Sivir,https://leagueoflegends.fandom.com/wiki/Sivir/LoL
Skarner,https://leagueoflegends.fandom.com/wiki/Skarner/LoL
Sona,https://leagueoflegends.fandom.com/wiki/Sona/LoL
Soraka,https://leagueoflegends.fandom.com/wiki/Soraka/LoL
Swain,https://leagueoflegends.fandom.com/wiki/Swain/LoL
Sylas,https://leagueoflegends.fandom.com/wiki/Sylas/LoL
Syndra,https://leagueoflegends.fandom.com/wiki/Syndra/LoL
Tahm Kench,https://leagueoflegends.fandom.com/wiki/Tahm_Kench/LoL
Taliyah,https://leagueoflegends.fandom.com/wiki/Taliyah/LoL
Talon,https://leagueoflegends.fandom.com/wiki/Talon/LoL
Taric,https://leagueoflegends.fandom.com/wiki/Taric/LoL
Teemo,https://leagueoflegends.fandom.com/wiki/Teemo/LoL
Thresh,https://leagueoflegends.fandom.com/wiki/Thresh/LoL
Tristana,https://leagueoflegends.fandom.com/wiki/Tristana/LoL
Trundle,https://leagueoflegends.fandom.com/wiki/Trundle/LoL
Tryndamere,https://leagueoflegends.fandom.com/wiki/Tryndamere/LoL
Twisted Fate,https://leagueoflegends.fandom.com/wiki/Twisted_Fate/LoL
Twitch,https://leagueoflegends.fandom.com/wiki/Twitch/LoL
Udyr,https://leagueoflegends.fandom.com/wiki/Udyr/LoL
Urgot,https://leagueoflegends.fandom.com/wiki/Urgot/LoL
Varus,https://leagueoflegends.fandom.com/wiki/Varus/LoL
Vayne,https://leagueoflegends.fandom.com/wiki/Vayne/LoL
Veigar,https://leagueoflegends.fandom.com/wiki/Veigar/LoL
Vel'Koz,https://leagueoflegends.fandom.com/wiki/Vel%27Koz/LoL
Vex,https://leagueoflegends.fandom.com/wiki/Vex/LoL
Vi,https://leagueoflegends.fandom.com/wiki/Vi/LoL
Viego,https://leagueoflegends.fandom.com/wiki/Viego/LoL
Viktor,https://leagueoflegends.fandom.com/wiki/Viktor/LoL
Vladimir,https://leagueoflegends.fandom.com/wiki/Vladimir/LoL
Volibear,https://leagueoflegends.fandom.com/wiki/Volibear/LoL
Warwick,https://leagueoflegends.fandom.com/wiki/Warwick/LoL
Wukong,https://leagueoflegends.fandom.com/wiki/Wukong/LoL
Xayah,https://leagueoflegends.fandom.com/wiki/Xayah/LoL
Xerath,https://leagueoflegends.fandom.com/wiki/Xerath/LoL
Xin Zhao,https://leagueoflegends.fandom.com/wiki/Xin_Zhao/LoL
Yasuo,https://leagueoflegends.fandom.com/wiki/Yasuo/LoL
Yone,https://leagueoflegends.fandom.com/wiki/Yone/LoL
Yorick,https://leagueoflegends.fandom.com/wiki/Yorick/LoL
Yuumi,https://leagueoflegends.fandom.com/wiki/Yuumi/LoL
Zac,https://leagueoflegends.fandom.com/wiki/Zac/LoL
Zed,https://leagueoflegends.fandom.com/wiki/Zed/LoL
Zeri,https://leagueoflegends.fandom.com/wiki/Zeri/LoL
Ziggs,https://leagueoflegends.fandom.com/wiki/Ziggs/LoL
Zilean,https://leagueoflegends.fandom.com/wiki/Zilean/LoL
Zoe,https://leagueoflegends.fandom.com/wiki/Zoe/LoL
Zyra,https://leagueoflegends.fandom.com/wiki/Zyra/LoL
