divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Platinum,Top,Irelia,D,47.20%,7.0%,12.5%,"Rumble,Singed,Maokai,Teemo,Pantheon,Rengar,Volibear","6,076"
Platinum,Jungle,Lee Sin,D,47.18%,10.6%,2.5%,"Zac,Rengar,Amumu,Skarner,Vi,Warwick,Ivern","9,147"
Platinum,Jungle,Taliyah,D,47.13%,4.9%,3.9%,"Sejuani,Nunu,Evelynn,Ivern,Fiddlesticks,Skarner,Reksai","4,214"
Platinum,Jungle,Shyvana,D,47.03%,7.2%,2.4%,"Xinzhao,Drmundo,Reksai,Skarner,Evelynn,Zac,Kindred","6,188"
Platinum,Mid,Qiyana,C,47.01%,1.6%,0.2%,"Ziggs,Veigar,Akali,Cassiopeia,Pantheon,Syndra,Vladimir","1,389"
Platinum,Jungle,Lillia,D,47.00%,6.8%,3.3%,"Rengar,Fiddlesticks,Skarner,Warwick,Kindred,Karthus,Elise","5,843"
Platinum,Mid,Irelia,D,46.95%,4.3%,12.5%,"Corki,Garen,Veigar,Seraphine,Velkoz,Katarina,Lux","3,678"
Platinum,Mid,Orianna,D,46.89%,6.3%,0.6%,"Ziggs,Rumble,Velkoz,Annie,Xerath,Qiyana,Kassadin","5,426"
Platinum,Jungle,Amumu,B,46.86%,1.1%,0.5%,"Sylas,Evelynn,Sejuani,Olaf,Ekko,Elise,Skarner",986
Platinum,Top,Sylas,C,46.79%,2.2%,3.4%,"Kayle,Chogath,Urgot,Teemo,Kennen,Aatrox,Irelia","1,913"
Platinum,Jungle,Jax,B,46.68%,0.8%,4.0%,"Poppy,Reksai,Skarner,Xinzhao,Sejuani,Amumu,Ivern",677
Platinum,Top,Shyvana,B,46.64%,0.5%,2.4%,"Jax,Garen,Yone,Aatrox,Vayne,Teemo,Chogath",461
Platinum,Jungle,Sejuani,B,46.52%,1.3%,0.1%,"Trundle,Wukong,Drmundo,Shyvana,Fiddlesticks,Volibear,Karthus","1,092"
Platinum,Adc,Caitlyn,D,46.45%,4.9%,1.6%,"Draven,Tristana,Lucian,Jhin,Ezreal,Senna,Samira","4,235"
Platinum,Supp,Twitch,B,46.34%,1.1%,2.8%,"Sett,Sona,Rell,Blitzcrank,Maokai,Shaco,Rakan",915
Platinum,Jungle,Trundle,B,46.31%,0.6%,0.1%,"Khazix,Warwick,Skarner,Taliyah,Zac,Graves,Nocturne",529
Platinum,Top,Fiora,D,46.15%,4.8%,5.6%,"Vladimir,Poppy,Yasuo,Kennen,Quinn,Tryndamere,Singed","4,160"
Platinum,Adc,Varus,B,46.13%,1.2%,0.0%,"Draven,Kalista,Senna,Xayah,Jhin,Samira,Kaisa","1,034"
Platinum,Mid,Veigar,C,46.07%,1.3%,0.1%,"Zilean,Neeko,Viego,Lucian,Ekko,Azir,Heimerdinger","1,157"
