rank,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Gold,Top,Maokai,2,0.533,0.014,0.006,"Singed,Mordekaiser,Kled,Shen,Cho'Gath,Ornn,Nasus",34239
Gold,Jungle,Dr. Mundo,1,0.5313,0.066,0.049,"Ivern,Nunu,Shaco,Taliyah,Jarvan IV,Rek'Sai,Master Yi",161133
Gold,Mid,Corki,2,0.5305,0.018,0.002,"Diana,Tristana,Fizz,Zed,Viktor,Katarina,Vladimir",44189
Gold,Top,Garen,0,0.5305,0.092,0.081,"Quinn,Camille,Cho'Gath,Teemo,Maokai,Urgot,Mordekaiser",224618
Gold,Jungle,Skarner,2,0.5297,0.021,0.008,"Dr. Mundo,Ivern,Poppy,Volibear,Nunu,Sejuani,Jarvan IV",51770
Gold,Jungle,Volibear,1,0.5289,0.046,0.049,"Ivern,Dr. Mundo,Nunu,Shaco,Skarner,Elise,Hecarim",112162
Gold,Mid,Malzahar,1,0.5283,0.04,0.045,"Morgana,Brand,Seraphine,Corki,Viktor,Diana,Ziggs",97812
Gold,Mid,Morgana,1,0.5282,0.008,0.375,"Tristana,Corki,Brand,Lux,Vel'Koz,Katarina,Kassadin",20443
Gold,Top,Cho'Gath,1,0.5282,0.056,0.032,"Urgot,Ornn,Mordekaiser,Kayle,Akali,Garen,Volibear",135114
Gold,Top,Wukong,1,0.5279,0.037,0.014,"Maokai,Illaoi,Garen,Singed,Malphite,Ornn,Cho'Gath",89282
Gold,Mid,Diana,0,0.5266,0.054,0.047,"Galio,Vel'Koz,Annie,Veigar,Viego,Neeko,Ekko",130595
Gold,Mid,Malphite,2,0.5259,0.012,0.158,"Lissandra,Sylas,Xerath,Anivia,Malzahar,Vladimir,Veigar",29918
Gold,Top,Ornn,1,0.5252,0.041,0.009,"Garen,Kayle,Sylas,Camille,Mordekaiser,Warwick,Fiora",98855
Gold,Jungle,Nunu & Willump,2,0.5232,0.04,0.015,"Fiddlesticks,Xin Zhao,Ivern,Skarner,Udyr,Elise,Hecarim",97332
Gold,Mid,Brand,2,0.5226,0.011,0.058,"Xerath,Annie,Viktor,Fizz,Vel'Koz,Corki,Zed",25554
Gold,Jungle,Hecarim,0,0.5224,0.148,0.448,"Dr. Mundo,Skarner,Volibear,Nunu,Trundle,Ivern,Udyr",360816
Gold,Mid,Vel'Koz,2,0.5222,0.02,0.007,"Xerath,Fizz,Zed,Ekko,Katarina,Tristana,Corki",48325
Gold,Mid,Nocturne,2,0.5219,0.01,0.045,"Veigar,Corki,Lissandra,Neeko,Tristana,Ekko,Pantheon",24042
Gold,Jungle,Shaco,0,0.521,0.09,0.239,"Sejuani,Skarner,Nunu,Hecarim,Nocturne,Volibear,Udyr",218302
Gold,Jungle,Udyr,0,0.5207,0.075,0.311,"Skarner,Ivern,Dr. Mundo,Warwick,Volibear,Nocturne,Nunu",181967
Gold,Mid,Galio,2,0.5204,0.035,0.021,"Nocturne,Vayne,Viego,Vel'Koz,Neeko,Lux,Ahri",84098
Gold,Top,Kled,2,0.5203,0.018,0.009,"Singed,Fiora,Ornn,Wukong,Garen,Cho'Gath,Sion",43968
Gold,Mid,Ahri,1,0.5203,0.064,0.016,"Annie,Corki,Malzahar,Diana,Lux,Ziggs,Brand",155825
Gold,Mid,Anivia,0,0.5203,0.042,0.082,"Corki,Vel'Koz,Xerath,Brand,Katarina,Diana,Fizz",102664
Gold,Jungle,Fiddlesticks,2,0.5201,0.042,0.022,"Dr. Mundo,Skarner,Volibear,Hecarim,Xin Zhao,Udyr,Shaco",101931
Gold,Top,Malphite,0,0.5197,0.077,0.158,"Sylas,Cho'Gath,Maokai,Nasus,Garen,Sion,Mordekaiser",188154
Gold,Supp,Maokai,2,0.5196,0.025,0.006,"Sona,Swain,Shaco,Blitzcrank,Braum,Leona,Nautilus",61329
Gold,Jungle,Ivern,3,0.5195,0.012,0.003,"Fiddlesticks,Nocturne,Elise,Shaco,Master Yi,Rammus,Nunu",29166
Gold,Mid,Neeko,2,0.519,0.022,0.005,"Vel'Koz,Xerath,Ziggs,Malzahar,Brand,Anivia,Lux",53970
Gold,Supp,Sona,2,0.5187,0.017,0.0,"Blitzcrank,Lulu,Soraka,Zyra,Seraphine,Yuumi,Leona",40104
Gold,Supp,Zilean,2,0.5183,0.031,0.006,"Sona,Janna,Maokai,Soraka,Lulu,Xerath,Nami",74373
Gold,Jungle,Elise,0,0.5182,0.063,0.114,"Skarner,Dr. Mundo,Nocturne,Sejuani,Shaco,Fiddlesticks,Shyvana",152398
Gold,Adc,Sivir,0,0.5174,0.088,0.073,"Twitch,Vayne,Tristana,Jhin,Samira,Kai'Sa,Jinx",214474
Gold,Mid,Sett,3,0.5174,0.007,0.035,"Veigar,Renekton,Malzahar,Ahri,Nocturne,Ekko,Pantheon",17567
Gold,Jungle,Nocturne,1,0.517,0.064,0.045,"Dr. Mundo,Volibear,Rammus,Nunu,Sejuani,Skarner,Hecarim",155978
Gold,Mid,Lux,2,0.5169,0.043,0.016,"Corki,Vel'Koz,Tristana,Ziggs,Xerath,Kassadin,Diana",104463
Gold,Mid,Pantheon,1,0.5163,0.029,0.094,"Neeko,Corki,Vel'Koz,Annie,Malzahar,Ahri,Veigar",69766
Gold,Jungle,Warwick,2,0.5157,0.042,0.01,"Dr. Mundo,Volibear,Ivern,Nunu,Shaco,Fiddlesticks,Skarner",100985
Gold,Mid,Veigar,2,0.5153,0.039,0.011,"Morgana,Katarina,Xerath,Vel'Koz,Zed,Lux,Fizz",95098
Gold,Top,Nasus,1,0.5152,0.058,0.051,"Sylas,Garen,Ornn,Urgot,Wukong,Cho'Gath,Shen",140477
Gold,Supp,Nami,2,0.5152,0.049,0.002,"Bard,Blitzcrank,Sona,Maokai,Leona,Galio,Zyra",119687
Gold,Supp,Shaco,1,0.5146,0.025,0.239,"Lulu,Nami,Seraphine,Soraka,Zilean,Neeko,Yuumi",61291
Gold,Top,Sion,2,0.5146,0.038,0.005,"Singed,Cho'Gath,Garen,Riven,Maokai,Vladimir,Quinn",92025
Gold,Adc,Tristana,0,0.5143,0.172,0.137,"Samira,Sivir,Draven,Kog'Maw,Kai'Sa,Miss Fortune,Jinx",417084
Gold,Mid,Fizz,0,0.5134,0.054,0.166,"Garen,Galio,Diana,Viego,Pantheon,Nocturne,Kassadin",132376
Gold,Mid,Seraphine,2,0.5133,0.008,0.135,"Corki,Ziggs,Lux,Yasuo,Vel'Koz,Kassadin,Diana",19953
Gold,Jungle,Poppy,2,0.5133,0.018,0.016,"Ivern,Hecarim,Nunu,Sejuani,Warwick,Shaco,Fiddlesticks",44921
Gold,Mid,Tristana,2,0.513,0.016,0.137,"Malphite,Ziggs,Xerath,Yasuo,Pantheon,Annie,Vladimir",39474
Gold,Jungle,Rammus,1,0.5128,0.041,0.101,"Dr. Mundo,Amumu,Volibear,Udyr,Fiddlesticks,Shaco,Nunu",99173
Gold,Mid,Renekton,2,0.5127,0.009,0.083,"Malphite,Anivia,Nocturne,Veigar,Lux,Malzahar,Garen",21910
Gold,Supp,Bard,2,0.5127,0.036,0.003,"Maokai,Zyra,Swain,Sona,Brand,Zilean,Vel'Koz",88243
Gold,Jungle,Sejuani,3,0.5122,0.023,0.002,"Ivern,Volibear,Dr. Mundo,Nunu,Udyr,Hecarim,Master Yi",55936
Gold,Adc,Jhin,0,0.5121,0.166,0.064,"Tristana,Twitch,Sivir,Jinx,Vayne,Kog'Maw,Samira",402834
Gold,Supp,Lulu,0,0.5119,0.109,0.086,"Maokai,Nami,Seraphine,Blitzcrank,Thresh,Brand,Bard",265265
Gold,Mid,Rumble,3,0.5118,0.008,0.003,"Tristana,Galio,Vel'Koz,Veigar,Corki,Lux,Fizz",20387
Gold,Supp,Zyra,2,0.5114,0.039,0.015,"Maokai,Blitzcrank,Shaco,Leona,Swain,Yuumi,Zilean",95305
Gold,Adc,Jinx,0,0.5114,0.153,0.039,"Sivir,Tristana,Twitch,Ashe,Jhin,Vayne,Miss Fortune",372912
Gold,Supp,Leona,0,0.5109,0.123,0.288,"Shaco,Zilean,Morgana,Bard,Swain,Taric,Rell",297917
Gold,Mid,Viego,1,0.5105,0.025,0.322,"Annie,Neeko,Pantheon,Malzahar,Corki,Lux,Xerath",60070
Gold,Supp,Blitzcrank,0,0.5104,0.078,0.115,"Braum,Leona,Alistar,Shaco,Zilean,Swain,Bard",188658
Gold,Mid,Ziggs,3,0.5103,0.011,0.001,"Morgana,Cassiopeia,Annie,Viego,Corki,Xerath,Brand",27414
Gold,Top,Shen,2,0.5101,0.054,0.016,"Urgot,Garen,Mordekaiser,Cho'Gath,Darius,Illaoi,Vayne",132305
Gold,Mid,Katarina,0,0.51,0.092,0.15,"Tristana,Annie,Vladimir,Kassadin,Fizz,Brand,Galio",222538
Gold,Mid,Viktor,2,0.5099,0.038,0.008,"Vel'Koz,Ekko,Ziggs,Annie,Diana,Galio,Ahri",92128
Gold,Top,Singed,2,0.5099,0.017,0.002,"Urgot,Heimerdinger,Yorick,Kayle,Vayne,Teemo,Ryze",41160
